NAME_OF_TOWN,STATE,TYPE,POPULATION
LACHHMANGARH,RAJASTHAN,M,53
LADNU,RAJASTHAN,M,65
LADWA,HARYANA,M.C,28
LAHAR,MADHYA PRADESH,N.P,35
LAHARPUR,UTTAR PRADESH,N.P.P,61
LAKHERI,RAJASTHAN,M,29
LAKHISARAI,BIHAR,N.P,99
LAKSAR,UTTARAKHAND,N.P,21
LAKSHMESHWAR,KARNATAKA,T.M.C,36
LAL GOPALGANJ NINDAURA,UTTAR PRADESH,N.P,28
LALGANJ,BIHAR,N.A.C,37000
LALGUDI,TAMIL NADU,T.P,23
LALGANJ,UTTAR PRADESH,N.P,21
LALKUAN,UTTARAKHAND,N.P,7
LALSOT,RAJASTHAN,M,34
LANDHAURA,UTTARAKHAND,N.P,18
LANKA,ASSAM,M.B,36
LAR,UTTAR PRADESH,N.P,28
LATHI,GUJARAT,M,21
LILONG,MANIPUR,N.P,22
LIMBDI,GUJARAT,M,42
LINGSUGUR,KARNATAKA,T.M.C,35
LOHA,MAHARASHTRA,M.CL,20
LOHAGHAT,UTTARAKHAND,N.P,7
LOHARDAGA,JHARKHAND,M.CL,24
LONAR,MAHARASHTRA,M.CL,23
LONAVLA,MAHARASHTRA,M.CL,57
LONGOWAL,PUNJAB,M.CL,23
LOSAL,RAJASTHAN,M,28
LUMDING,ASSAM,M.B,31
LUNAWADA,GUJARAT,M,36
LUNGLEI,MIZORAM,N.T,57
MACHERLA,ANDHRA PRADESH,M,49
MADDUR,KARNATAKA,T.M.C,26
MADHEPURA,BIHAR,M,45
MADHUBANI,BIHAR,M,66
MADHUGIRI,KARNATAKA,T.M.C,26
MADHUPUR,JHARKHAND,M,47
MADIKERI,KARNATAKA,T.M.C,32
MAGADI,KARNATAKA,T.M.C,25
MAHAD,MAHARASHTRA,M.CL,24
MAHALINGAPURA,KARNATAKA,T.M.C,30
MAHARAJGANJ,BIHAR,N.A,20
MAHARAJPUR,MADHYA PRADESH,NP,21
MAHASAMUND,CHHATTISGARH,M,85650
MAHE,PUDUCHERRY,M,36
MANENDRAGARH,CHHATTISGARH,M,30
MAHENDRAGARH,HARYANA,M.C,24
MAHNAR BAZAR,BIHAR,M,37
MAHUA DABRA HARIPURA,UTTARAKHAND,N.P,7
MAHUA KHERAGANJ,UTTARAKHAND,N.P,12
MAIHAR,MADHYA PRADESH,M,34
MAINAGURI,WEST BENGAL,C.T,27
MAKHDUMPUR,BIHAR,N.A,30
MAKRANA,RAJASTHAN,UA,91
MALDA,WEST BENGAL,M,23
MALAJ KHAND,MADHYA PRADESH,M,32
MALAVALLI,KARNATAKA,T.M.C,35
MALKANGIRI,ODISHA,N.A.C,23
MALKAPUR,MAHARASHTRA,M.CL,61
MALOUT,PUNJAB,M.CL,70
MALPURA,RAJASTHAN,UA,27
MALUR,KARNATAKA,T.M.C,27
MANACHANALLUR,TAMIL NADU,T.P,25
MANASA,MADHYA PRADESH,N.P,22
MANAVADAR,GUJARAT,M,27
MANAWAR,MADHYA PRADESH,M,25
MANDALGARH,RAJASTHAN,M,20
MANDAMARRI,TELANGANA,M,66
MANDAPETA,ANDHRA PRADESH,M,47
MANDAWA,RAJASTHAN,M,20
MANDI DABWALI,HARYANA,M.C,53
MANDIDEEP,MADHYA PRADESH,M,59654
MANDLA,MADHYA PRADESH,UA,60
MANDVI,GUJARAT,M,42
MANER SHARIF,BIHAR,N.A,30
MANGALDOI,ASSAM,M.B,23
MANGALVEDHE,MAHARASHTRA,M.CL,21
MANGLAUR,UTTARAKHAND,N.P.P.,52
MANGROL,GUJARAT,UA,56
MANGROL,RAJASTHAN,M,21
MANGRULPIR,MAHARASHTRA,M.CL,27
MANIHARI,BIHAR,N.A,21
MANJLEGAON,MAHARASHTRA,M.CL,44
MANKACHAR,ASSAM,C.T,28
MANMAD,MAHARASHTRA,M.CL,72
MANSA,PUNJAB,M.CL,72
MANSA,GUJARAT,M,27
MANUGURU,TELANGANA,C.T,32
MANVI,KARNATAKA,T.M.C,37
MANWATH,MAHARASHTRA,M.CL,29
MAPUSA,GOA,M.CL,40
MARGAO,GOA,UA,94
MARGHERITA,ASSAM,C.T,24
MARHAURA,BIHAR,N.A,24
MARIANI,ASSAM,T.C,20
MARIGAON,ASSAM,T.C,20
MARKAPUR,ANDHRA PRADESH,M,58
MASAURHI,BIHAR,N.PD,63
MATHABHANGA,WEST BENGAL,M,21
MATTANNUR,KERALA,M,44
MAUGANJ,MADHYA PRADESH,N.P,23
MAVELIKKARA,KERALA,M,28
MAVOOR,KERALA,C.T,27
MAYANG IMPHAL,MANIPUR,N.P,20
MEDAK,TELANGANA,N.P,41
MEDINIPUR,WEST BENGAL,M,149
MEHKAR,MAHARASHTRA,M.CL,37
MAHEMDABAD,GUJARAT,M,30
MEMARI,WEST BENGAL,M,36
MERTA CITY,RAJASTHAN,M,40
MHASWAD,MAHARASHTRA,M.CL,20
MHOW CANTONMENT,MADHYA PRADESH,UA,92
MHOWGAON,MADHYA PRADESH,N.P,20
MIHIJAM,JHARKHAND,N.A,33
MIRGANJ,BIHAR,N.A,23
MIRYALAGUDA,TELANGANA,UA,91
MODASA,GUJARAT,M,54
MOKAMEH,BIHAR,M,56
MOKOKCHUNG,NAGALAND,T.C,31
MONOHARPUR,WEST BENGAL,C.T,20
MORSHI,MAHARASHTRA,M.CL,33
MOTIPUR,BIHAR,N.A,21
MOUNT ABU,RAJASTHAN,M,22
MUDALAGI,KARNATAKA,T.M.C,29
MUDABIDRI,KARNATAKA,T.M.C,25
MUDDEBIHAL,KARNATAKA,T.M.C,28
MUDHOL,KARNATAKA,T.M.C,42
MUKERIAN,PUNJAB,M.CL,21
MUKHED,MAHARASHTRA,M.CL,25
MUKTSAR,PUNJAB,M.CL,83
MUL,MAHARASHTRA,M.CL,22
MULBAGAL,KARNATAKA,T.M.C,44
MULTAI,MADHYA PRADESH,N.P,21
MUNDI,MADHYA PRADESH,N.P,30
MUNDARGI,KARNATAKA,T.P,20
MUNGELI,CHHATTISGARH,UA,31
MUNI KI RETI,UTTARAKHAND,N.P,10
MURLIGANJ,BIHAR,N.A,22
MURSHIDABAD,WEST BENGAL,M,36
MURTIJAPUR,MAHARASHTRA,M.CL,38
MUSABANI,JHARKHAND,C.T,33
MUSSOORIE,UTTARAKHAND,N.P.P,30
MUVATTUPUZHA,KERALA,M,29
NABARANGAPUR,ODISHA,M,29
NABHA,PUNJAB,M.CL,67
NADBAI,RAJASTHAN,M,26
NAGAR,RAJASTHAN,M,25
NAGARI,ANDHRA PRADESH,M,62
NAGARKURNOOL,TELANGANA,C.T,26
NAGINA,UTTAR PRADESH,N.P.P,95
NAGLA,UTTARAKHAND,C.T,22
NAHAN,HIMACHAL PRADESH,M.CL,28
NAHARLAGUN,ARUNACHAL PRADESH,N.T,36
NAIDUPET,ANDHRA PRADESH,M,65
NAILA JANJGIR,CHHATTISGARH,M,40
NAINITAL,UTTARAKHAND,N.P.P,41
NAINPUR,MADHYA PRADESH,M,22
NAJIBABAD,UTTAR PRADESH,M.B,88
NAKODAR,PUNJAB,M.CL,36
NAKUR,UTTAR PRADESH,N.P.P,22
NALBARI,ASSAM,M.B,27
NAMAGIRIPETTAI,TAMIL NADU,T.P,21
NAMAKKAL,TAMIL NADU,M,55
NANDAPRAYAG,UTTARAKHAND,N.P,1
NANDGAON,MAHARASHTRA,N.P,11
NANDIVARAM-GUDUVANCHERI,TAMIL NADU,T.P,44
NANDURA,MAHARASHTRA,M.CL,42
NANGAL,PUNJAB,M.CL,41
NANJANGUD,KARNATAKA,T.M.C,50
NANJIKOTTAI,TAMIL NADU,C.T,32
NANPARA,UTTAR PRADESH,N.P.P,48
NARASAPURAM,ANDHRA PRADESH,M,58
NARAURA,UTTAR PRADESH,N.P,22
NARAYANPET,TELANGANA,N.P,41
NARENDRANAGAR,UTTARAKHAND,N.P.P,6
NARGUND,KARNATAKA,T.M.C,36
NARKATIAGANJ,BIHAR,N.PD,49
NARKHED,MAHARASHTRA,M.CL,21
NARNAUL,HARYANA,M.CL,74
NARSINGHGARH,MADHYA PRADESH,C.T,6
NARSINGHGARH,MADHYA PRADESH,M,32
NARSIPATNAM,ANDHRA PRADESH,C.T,33
NARWANA,HARYANA,M.CL,62
NASIRABAD,RAJASTHAN,C.B,50
NATHAM,TAMIL NADU,T.P,23
NATHDWARA,RAJASTHAN,M,42
NAUGACHHIA,BIHAR,N.P,49
NAUGAWAN SADAT,UTTAR PRADESH,N.P,32
NAURA,PUNJAB,,7
NAUTANWA,UTTAR PRADESH,N.P.P,33
NAVALGUND,KARNATAKA,T.M.C,24
NAWABGANJ,UTTAR PRADESH,N.P.P,39
NAWADA,BIHAR,N.PD,98
NAWANSHAHR,PUNJAB,M.CL,46
NAWAPUR,MAHARASHTRA,M.CL,34
NEDUMANGAD,KERALA,M,60
NEDUMBASSERY,KERALA,G.P,28
NEEM-KA-THANA,RAJASTHAN,M,36
NEHTAUR,UTTAR PRADESH,N.P.P,47
NELAMANGALA,KARNATAKA,T.M.C,37
NELLIKUPPAM,TAMIL NADU,M,46
NEPANAGAR,MADHYA PRADESH,M,29
NEYYATTINKARA,KERALA,M,70
NIDADAVOLE,ANDHRA PRADESH,M,43
NILANGA,MAHARASHTRA,M.CL,36
NILAMBUR,KERALA,C.T,46
NIMBAHERA,RAJASTHAN,M,61
NIRMAL,TELANGANA,M,88
NIWARI,MADHYA PRADESH,N.P,23
NIWAI,RAJASTHAN,N.P,9
NOHAR,RAJASTHAN,M,49
NOKHA,BIHAR,N.P,27
NOKHA,RAJASTHAN,M,62
NONGSTOIN,MEGHALAYA,T.C,28
NOORPUR,UTTAR PRADESH,N.P.P,38
NORTH LAKHIMPUR,ASSAM,M.B,59
NOWGONG,MADHYA PRADESH,M,40
NOWROZABAD (KHODARGAMA),MADHYA PRADESH,N.P,21
NUZVID,ANDHRA PRADESH,M,58
O' VALLEY,TAMIL NADU,T.P,21
ODDANCHATRAM,TAMIL NADU,T.P,30
OBRA,UTTAR PRADESH,N.P,14
OTTAPPALAM,KERALA,M,53
OZAR,MAHARASHTRA,C.T,51
OWK,ANDHRA PRADESH,C.T,16
P.N.PATTI,TAMIL NADU,T.P,23
PALAMPUR,HIMACHAL PRADESH,T.P,23
PACHORA,MAHARASHTRA,M.CL,45
PACHORE,MADHYA PRADESH,N.P,20
PACODE,TAMIL NADU,T.P,22
PADMANABHAPURAM,TAMIL NADU,M,20
PADRA,GUJARAT,UA,39
PADRAUNA,UTTAR PRADESH,M.B,44
PAITHAN,MAHARASHTRA,M.CL,34
PAKAUR,JHARKHAND,M,36
PALAI,KERALA,M,22
PALANI,TAMIL NADU,M,67
PALASA KASIBUGGA,ANDHRA PRADESH,N.P,49
PALGHAR,MAHARASHTRA,M.CL,52
PALI,RAJASTHAN,M,20
PALIA KALAN,UTTAR PRADESH,M.B,35
PALITANA,GUJARAT,M,51
PALLADAM,TAMIL NADU,T.P,30
PALLAPATTI,TAMIL NADU,C.T,24
PALLIKONDA,TAMIL NADU,T.P,20
PALWANCHA,TELANGANA,M,69
PANAGAR,MADHYA PRADESH,M,25
PANAGUDI,TAMIL NADU,T.P,25
PANAJI*,GOA,UA,99
PANAMATTOM,KERALA,N.A,10
PANCHLA,WEST BENGAL,C.T,22
PANDHARKAODA,MAHARASHTRA,M.CL,26
PANDHARPUR,MAHARASHTRA,M.CL,91
PANDHURNA,MADHYA PRADESH,M,40
PANDUA,WEST BENGAL,C.T,27
PANNA,MADHYA PRADESH,UA,52
PANNIYANNUR,KERALA,C.T,20
PANRUTI,TAMIL NADU,M,55
PAPPINISSERI,KERALA,C.T,33
PARADIP,ODISHA,N.A.C,73
PARAMAKUDI,TAMIL NADU,M,84
PARANGIPETTAI,TAMIL NADU,T.P,20
PARASI,UTTAR PRADESH,C.T,21
PARAVOOR,KERALA,M,38
PARDI,GUJARAT,M,25
PARLAKHEMUNDI,ODISHA,M,43
PARLI,MAHARASHTRA,M.CL,88
PARTUR,MAHARASHTRA,M.CL,29
PARVATHIPURAM,ANDHRA PRADESH,M,49
PASAN,MADHYA PRADESH,M,29
PASCHIM PUNROPARA,WEST BENGAL,C.T,31
PASIGHAT,ARUNACHAL PRADESH,C.T,21
PATHANAMTHITTA,KERALA,M,38
PATHARDI,MAHARASHTRA,M.CL,22
PATHRI,MAHARASHTRA,M.CL,32
PATTRAN,PUNJAB,N.P,22
PATRATU,JHARKHAND,C.T,32
PATTAMUNDAI,ODISHA,M,37
PATTI,PUNJAB,M.CL,34
PATTUKKOTTAI,TAMIL NADU,M,65
PATUR,MAHARASHTRA,M.CL,20
PAUNI,MAHARASHTRA,M.CL,22
PAURI,UTTARAKHAND,N.P.P,25
PAVAGADA,KARNATAKA,T.P,28
PEDANA,ANDHRA PRADESH,N.P,29
PEDDAPURAM,ANDHRA PRADESH,M,45
PEHOWA,HARYANA,M.C,33
PEN,MAHARASHTRA,M.CL,30
PERAMBALUR,TAMIL NADU,T.P,37
PERAVURANI,TAMIL NADU,T.P,21
PERINGATHUR,KERALA,C.T,37
PERINTHALMANNA,KERALA,M,44
PERIYAKULAM,TAMIL NADU,M,42
PERIYASEMUR,TAMIL NADU,T.P,32
PERNAMPATTU,TAMIL NADU,T.P,41
PERUMBAVOOR,KERALA,M,26
PETLAD,GUJARAT,M,51
PHALODI,RAJASTHAN,UA,44
PHALTAN,MAHARASHTRA,M.CL,50
PHAGWARA,PUNJAB,M.CORP,1
PHILLAUR,PUNJAB,M.CL,22
PHULABANI,ODISHA,N.A.C,33
PHULERA,RAJASTHAN,M,21
PHULPUR,UTTAR PRADESH,N.P,20
PIHANI,UTTAR PRADESH,M.B,27
PILANI,RAJASTHAN,UA,40
PILIBANGA,RAJASTHAN,M,33
PILKHUWA,UTTAR PRADESH,M.B,66
PINDWARA,RAJASTHAN,M,20
PIPAR CITY,RAJASTHAN,M,32
PIRO,BIHAR,N.A,25
PIRIYAPATNA,KARNATAKA,CT,14
PITHAMPUR,MADHYA PRADESH,N.P,68
PITHAPURAM,ANDHRA PRADESH,M,50
PITHORAGARH,UTTARAKHAND,N.P.P,56
POLUR,TAMIL NADU,T.P,25
PONNANI,KERALA,M,87
PONNERI,TAMIL NADU,T.P,24
PONNUR,ANDHRA PRADESH,M,57
PORSA,MADHYA PRADESH,M,33
PORT BLAIR*,ANDAMAN AND NICOBAR ISLANDS,M.CL,99
POWAYAN,UTTAR PRADESH,N.P,23
PRANTIJ,RAJASTHAN,M,22
PRATAPGARH,RAJASTHAN,M,35
PRATAPGARH,TRIPURA,C.T,26
PRITHVIPUR,MADHYA PRADESH,N.P,22
PUDUPATTINAM,TAMIL NADU,C.T,20
PUKHRAYAN,UTTAR PRADESH,M.B,20
PULGAON,MAHARASHTRA,M.CL,36
PULIYANKUDI,TAMIL NADU,M,33
PUNALUR,KERALA,M,47
POONCH,JAMMU AND KASHMIR,M.B,40
PUNJAIPUGALUR,TAMIL NADU,T.P,20
PUNGANUR,ANDHRA PRADESH,N.P,44
PURANPUR,UTTAR PRADESH,M.B,37
PURNA,MAHARASHTRA,M.CL,33
PURQUAZI,UTTAR PRADESH,UA,23
PURWA,UTTAR PRADESH,N.P,21
PUSAD,MAHARASHTRA,M.CL,67
PUTTUR,KARNATAKA,T.M.C,48
PUTHUPPALLY,KERALA,M,18
PUTTUR,ANDHRA PRADESH,C.T,29
QADIAN,PUNJAB,M.CL.,21
KOYILANDY,KERALA,M,71
RABKAVI BANHATTI,KARNATAKA,CMC,70
RADHANPUR,GUJARAT,M,32
RAFIGANJ,BIHAR,N.A,24
RAGHOGARH-VIJAYPUR,MADHYA PRADESH,M,49
RAGHUNATHPUR,WEST BENGAL,M,21
RAHATGARH,MADHYA PRADESH,N.P,25
RAHURI,MAHARASHTRA,M.CL,34
RAIKOT,PUNJAB,M.CL,24
RAIRANGPUR,ODISHA,N.A.C,21
RAISEN,MADHYA PRADESH,M,35
RAISINGHNAGAR,RAJASTHAN,M,27
RAJAGANGAPUR,ODISHA,M,43
RAJAKHERA,RAJASTHAN,M,28
RAJALDESAR,RAJASTHAN,M,22
RAJAM,ANDHRA PRADESH,C.T,23
RAJAURI,JAMMU AND KASHMIR,N.A.C,41
RAJESULTANPUR,UTTAR PRADESH,N.P,28
RAJGARH (ALWAR),RAJASTHAN,M,25
RAJGARH (CHURU),RAJASTHAN,UA,51
RAJGARH,MADHYA PRADESH,N.P,23
RAJGIR,BIHAR,N.A,33
RAJPIPLA,GUJARAT,M,34
RAJPURA,PUNJAB,M.CL,82
RAJSAMAND,RAJASTHAN,M,55
RAJULA,GUJARAT,M,32
RAJURA,MAHARASHTRA,M.CL,25
RAMACHANDRAPURAM,ANDHRA PRADESH,M,41
RAMNAGAR,UTTARAKHAND,N.P.P,54
RAMANAGARAM,KARNATAKA,CMC,79
RAMANATHAPURAM,TAMIL NADU,M,62
RAMDURG,KARNATAKA,UA,36
RAMESHWARAM,TAMIL NADU,T.P,37
RAMGANJ MANDI,RAJASTHAN,M,30
RAMNGARH,RAJASTHAN,M,28
RAMNAGAR,BIHAR,N.A,38
RAMNAGAR,UTTARAKHAND,M.B,46
RAMPUR MANIHARAN,UTTAR PRADESH,N.P,24
RAMPURA PHUL,PUNJAB,UA,44
RAMPURHAT,WEST BENGAL,M,50
RAMTEK,MAHARASHTRA,M.CL,22
RANAVAV,GUJARAT,UA,29
RANGIYA,ASSAM,M.B,25
RANIA,HARYANA,M.C,20
RANIBENNUR,KARNATAKA,CMC,89
RAPAR,GUJARAT,M,23
RASIPURAM,TAMIL NADU,M,46
RASRA,UTTAR PRADESH,M.B,29
RATANGARH,RAJASTHAN,M,63
RATH,UTTAR PRADESH,M.B,55
RATIA,HARYANA,M.C,23
RATNAGIRI,MAHARASHTRA,M.CL,70
RAU,MADHYA PRADESH,N.P,20
RAVER,MAHARASHTRA,M.CL,25
RAWATBHATA,RAJASTHAN,M,34
